,pedal,velocity,acceleration
0.0,0.0,0.0,1.0
0.05,0.04997916927067833,0.04997916927067833,0.9987502603949663
0.1,0.09983341664682815,0.09983341664682815,0.9950041652780258
0.15000000000000002,0.14943813247359924,0.14943813247359924,0.9887710779360422
0.2,0.19866933079506122,0.19866933079506122,0.9800665778412416
0.25,0.24740395925452294,0.24740395925452294,0.9689124217106447
0.30000000000000004,0.2955202066613396,0.2955202066613396,0.955336489125606
0.35000000000000003,0.3428978074554514,0.3428978074554514,0.9393727128473789
0.4,0.3894183423086505,0.3894183423086505,0.9210609940028851
0.45,0.43496553411123023,0.43496553411123023,0.9004471023526769
0.5,0.479425538604203,0.479425538604203,0.8775825618903728
0.55,0.5226872289306592,0.5226872289306592,0.8525245220595057
0.6000000000000001,0.5646424733950355,0.5646424733950355,0.8253356149096782
0.65,0.6051864057360395,0.6051864057360395,0.7960837985490559
0.7000000000000001,0.6442176872376911,0.6442176872376911,0.7648421872844884
0.75,0.6816387600233341,0.6816387600233341,0.7316888688738209
0.8,0.7173560908995228,0.7173560908995228,0.6967067093471654
0.8500000000000001,0.7512804051402927,0.7512804051402927,0.6599831458849821
0.9,0.7833269096274834,0.7833269096274834,0.6216099682706644
0.9500000000000001,0.8134155047893737,0.8134155047893737,0.5816830894638835
1.0,0.8414709848078965,0.8414709848078965,0.5403023058681398
1.05,0.867423225594017,0.867423225594017,0.49757104789172696
1.1,0.8912073600614354,0.8912073600614354,0.4535961214255773
1.1500000000000001,0.9127639402605211,0.9127639402605211,0.40848744088415717
1.2000000000000002,0.9320390859672264,0.9320390859672264,0.3623577544766734
1.25,0.9489846193555862,0.9489846193555862,0.3153223623952687
1.3,0.963558185417193,0.963558185417193,0.26749882862458735
1.35,0.9757233578266591,0.9757233578266591,0.2190066870930415
1.4000000000000001,0.9854497299884603,0.9854497299884603,0.16996714290024081
1.4500000000000002,0.9927129910375885,0.9927129910375885,0.1205027693673664
1.5,0.9974949866040544,0.9974949866040544,0.0707372016677029
1.55,0.999783764189357,0.999783764189357,0.020794827803092428
1.6,0.9995736030415051,0.9995736030415051,-0.029199522301288815
1.6500000000000001,0.9968650284539189,0.9968650284539189,-0.07912088880673408
1.7000000000000002,0.9916648104524686,0.9916648104524686,-0.12884449429552486
1.75,0.9839859468739369,0.9839859468739369,-0.17824605564949209
1.8,0.9738476308781951,0.9738476308781951,-0.2272020946930871
1.85,0.9612752029752999,0.9612752029752999,-0.27559024682451294
1.9000000000000001,0.9463000876874145,0.9463000876874145,-0.3232895668635035
1.9500000000000002,0.9289597150038692,0.9289597150038692,-0.3701808313512871
2.0,0.9092974268256817,0.9092974268256817,-0.4161468365471424
2.0500000000000003,0.8873623686333753,0.8873623686333753,-0.46107269137671314
